ExecutionTime,high,low,close,volume,delivery_time
2021-01-07 20:15:00+01:00,57.28,55.2,57.28,1.125,2021-01-08 00:15:00
2021-01-07 20:30:00+01:00,61.92,59.7,61.3,5.15,2021-01-08 00:15:00
2021-01-07 20:45:00+01:00,61.92,59.7,61.3,0.0,2021-01-08 00:15:00
2021-01-07 21:00:00+01:00,59.95,56.09,56.09,0.2,2021-01-08 00:15:00
2021-01-07 21:15:00+01:00,63.75,60.99,63.47,2.525,2021-01-08 00:15:00
2021-01-07 21:30:00+01:00,63.5,62.6,63.24,2.425,2021-01-08 00:15:00
2021-01-07 21:45:00+01:00,64.5,62.14,62.14,9.2,2021-01-08 00:15:00
2021-01-07 22:00:00+01:00,63.5,62.06,63.5,2.975,2021-01-08 00:15:00
2021-01-07 22:15:00+01:00,64.2,62.42,62.42,19.45,2021-01-08 00:15:00
2021-01-07 22:30:00+01:00,63.8,59.7,63.8,15.0,2021-01-08 00:15:00
2021-01-07 22:45:00+01:00,64.8,63.8,64.8,8.225,2021-01-08 00:15:00
2021-01-07 23:00:00+01:00,64.8,63.8,64.8,0.0,2021-01-08 00:15:00
2021-01-07 23:15:00+01:00,64.8,63.8,64.8,0.0,2021-01-08 00:15:00
2021-01-07 23:30:00+01:00,64.8,63.8,64.8,0.0,2021-01-08 00:15:00
2021-01-07 23:45:00+01:00,64.8,63.8,64.8,0.0,2021-01-08 00:15:00
2021-01-14 18:00:00+01:00,62.6,62.5,62.55,0.7999999999999999,2021-01-15 00:15:00
2021-01-14 18:15:00+01:00,62.6,62.49,62.6,0.4,2021-01-15 00:15:00
2021-01-14 18:30:00+01:00,61.0,57.85,57.85,0.275,2021-01-15 00:15:00
2021-01-14 18:45:00+01:00,62.6,56.53,62.6,1.8,2021-01-15 00:15:00
2021-01-14 19:00:00+01:00,70.0,63.65,66.0,11.35,2021-01-15 00:15:00
2021-01-14 19:15:00+01:00,69.49,69.39,69.49,0.25,2021-01-15 00:15:00
2021-01-14 19:30:00+01:00,67.63,67.25,67.63,1.0499999999999998,2021-01-15 00:15:00
2021-01-14 19:45:00+01:00,70.0,67.46,67.46,1.275,2021-01-15 00:15:00
2021-01-14 20:00:00+01:00,66.0,66.0,66.0,0.025,2021-01-15 00:15:00
2021-01-14 20:15:00+01:00,66.01,65.91,66.01,0.9750000000000001,2021-01-15 00:15:00
2021-01-14 20:30:00+01:00,69.4,63.3,67.29,5.95,2021-01-15 00:15:00
2021-01-14 20:45:00+01:00,67.7,63.11,63.11,6.325,2021-01-15 00:15:00
2021-01-14 21:00:00+01:00,63.54,62.9,62.9,2.6,2021-01-15 00:15:00
2021-01-14 21:15:00+01:00,62.67,62.0,62.1,1.475,2021-01-15 00:15:00
2021-01-14 21:30:00+01:00,62.33,61.48,61.66,10.325,2021-01-15 00:15:00
2021-01-14 21:45:00+01:00,63.19,60.4,60.49,18.325,2021-01-15 00:15:00
2021-01-14 22:00:00+01:00,63.54,59.4,61.3,50.725,2021-01-15 00:15:00
2021-01-14 22:15:00+01:00,63.1,60.64,61.3,12.6,2021-01-15 00:15:00
2021-01-14 22:30:00+01:00,61.71,59.96,61.71,11.0,2021-01-15 00:15:00
2021-01-14 22:45:00+01:00,69.8,60.77,69.0,21.55,2021-01-15 00:15:00
2021-01-14 23:00:00+01:00,69.8,60.77,69.0,0.0,2021-01-15 00:15:00
2021-01-14 23:15:00+01:00,69.8,60.77,69.0,0.0,2021-01-15 00:15:00
2021-01-14 23:30:00+01:00,69.8,60.77,69.0,0.0,2021-01-15 00:15:00
2021-01-14 23:45:00+01:00,69.8,60.77,69.0,0.0,2021-01-15 00:15:00
2021-01-21 18:00:00+01:00,43.98,40.08,43.06,3.9250000000000003,2021-01-22 00:15:00
2021-01-21 18:15:00+01:00,44.05,43.06,44.05,0.525,2021-01-22 00:15:00
2021-01-21 18:30:00+01:00,47.53,47.53,47.53,0.25,2021-01-22 00:15:00
2021-01-21 18:45:00+01:00,47.53,47.53,47.53,0.0,2021-01-22 00:15:00
2021-01-21 19:00:00+01:00,47.53,47.53,47.53,0.0,2021-01-22 00:15:00
2021-01-21 19:15:00+01:00,48.33,43.3,45.13,5.05,2021-01-22 00:15:00
2021-01-21 19:30:00+01:00,48.33,43.3,45.13,0.0,2021-01-22 00:15:00
2021-01-21 19:45:00+01:00,45.29,43.4,43.4,7.425,2021-01-22 00:15:00
2021-01-21 20:00:00+01:00,46.85,42.39,42.39,2.5,2021-01-22 00:15:00
2021-01-21 20:15:00+01:00,47.19,42.49,46.83,1.35,2021-01-22 00:15:00
2021-01-21 20:30:00+01:00,44.42,41.4,41.4,6.1,2021-01-22 00:15:00
2021-01-21 20:45:00+01:00,42.9,41.28,42.9,8.35,2021-01-22 00:15:00
2021-01-21 21:00:00+01:00,45.0,43.0,45.0,15.35,2021-01-22 00:15:00
2021-01-21 21:15:00+01:00,45.09,42.5,44.7,10.55,2021-01-22 00:15:00
2021-01-21 21:30:00+01:00,45.16,43.18,44.68,19.375,2021-01-22 00:15:00
2021-01-21 21:45:00+01:00,53.08,44.7,47.6,24.8,2021-01-22 00:15:00
2021-01-21 22:00:00+01:00,53.0,47.68,51.72,15.875,2021-01-22 00:15:00
2021-01-21 22:15:00+01:00,54.68,46.0,46.0,21.675,2021-01-22 00:15:00
2021-01-21 22:30:00+01:00,87.16,46.0,55.03,38.55,2021-01-22 00:15:00
2021-01-21 22:45:00+01:00,54.17,44.1,45.99,21.425,2021-01-22 00:15:00
2021-01-21 23:00:00+01:00,54.17,44.1,45.99,0.0,2021-01-22 00:15:00
2021-01-21 23:15:00+01:00,54.17,44.1,45.99,0.0,2021-01-22 00:15:00
2021-01-21 23:30:00+01:00,54.17,44.1,45.99,0.0,2021-01-22 00:15:00
2021-01-21 23:45:00+01:00,54.17,44.1,45.99,0.0,2021-01-22 00:15:00
2021-01-28 18:00:00+01:00,62.73,56.58,57.0,5.5,2021-01-29 00:15:00
2021-01-28 18:15:00+01:00,62.73,56.58,57.0,0.0,2021-01-29 00:15:00
2021-01-28 18:30:00+01:00,62.73,56.58,57.0,0.0,2021-01-29 00:15:00
2021-01-28 18:45:00+01:00,62.73,56.58,57.0,0.0,2021-01-29 00:15:00
2021-01-28 19:00:00+01:00,62.73,56.58,57.0,0.0,2021-01-29 00:15:00
