tgt_close_t-12,tgt_close_t-11,tgt_close_t-10,tgt_close_t-9,tgt_close_t-8,tgt_close_t-7,tgt_close_t-6,tgt_close_t-5,tgt_close_t-4,tgt_close_t-3,tgt_close_t-2,tgt_close_t-1,wind_actual_exc-15m,solar_actual_exc-15m,load_actual_exc-15m,neigh1_close_t-12,neigh1_close_t-11,neigh1_close_t-10,neigh1_close_t-9,neigh1_close_t-8,neigh1_close_t-7,neigh1_close_t-6,neigh1_close_t-5,neigh1_close_t-4,neigh1_close_t-3,neigh1_close_t-2,neigh1_close_t-1,neigh2_close_t-12,neigh2_close_t-11,neigh2_close_t-10,neigh2_close_t-9,neigh2_close_t-8,neigh2_close_t-7,neigh2_close_t-6,neigh2_close_t-5,neigh2_close_t-4,neigh2_close_t-3,neigh2_close_t-2,neigh2_close_t-1,neigh3_close_t-12,neigh3_close_t-11,neigh3_close_t-10,neigh3_close_t-9,neigh3_close_t-8,neigh3_close_t-7,neigh3_close_t-6,neigh3_close_t-5,neigh3_close_t-4,neigh3_close_t-3,neigh3_close_t-2,neigh3_close_t-1,wind_forecast_t-0m,wind_forecast_t-15m,wind_forecast_t-30m,wind_forecast_t-45m,wind_forecast_t-60m,wind_forecast_t-1d-0m,wind_forecast_t-1d-15m,wind_forecast_t-1d-30m,wind_forecast_t-1d-45m,wind_forecast_t-1d-60m,solar_forecast_t-0m,solar_forecast_t-15m,solar_forecast_t-30m,solar_forecast_t-45m,solar_forecast_t-60m,solar_forecast_t-1d-0m,solar_forecast_t-1d-15m,solar_forecast_t-1d-30m,solar_forecast_t-1d-45m,solar_forecast_t-1d-60m,load_forecast_t-0m,load_forecast_t-15m,load_forecast_t-30m,load_forecast_t-45m,load_forecast_t-60m,load_forecast_t-1d-0m,load_forecast_t-1d-15m,load_forecast_t-1d-30m,load_forecast_t-1d-45m,load_forecast_t-1d-60m,wind_actual_t-1d-0m,wind_actual_t-1d-15m,wind_actual_t-1d-30m,wind_actual_t-1d-45m,wind_actual_t-1d-60m,solar_actual_t-1d-0m,solar_actual_t-1d-15m,solar_actual_t-1d-30m,solar_actual_t-1d-45m,solar_actual_t-1d-60m,load_actual_t-1d-0m,load_actual_t-1d-15m,load_actual_t-1d-30m,load_actual_t-1d-45m,load_actual_t-1d-60m,day_ahead_price,delivery_time,execution_hour,target_close
-3.22,-11.19,-7.28,-3.11,-5.0,0.14,0.71,3.93,-1.99,0.0,1.95,-0.49,,,,18.93,6.5,16.05,8.69,3.24,-4.56,-1.79,-11.23,-5.26,-5.87,-9.88,-14.21,-10.6,-4.7,-7.14,-2.14,-8.41,-4.15,-1.92,-8.81,-0.2,-1.59,-4.5,-3.77,-1.18,-1.51,-0.5,-0.12,-0.91,-2.02,-1.6,3.93,-1.15,-1.17,-2.13,-2.49,29741.0,30236.0,30724.0,31127.0,31517.0,37528.0,37161.0,36692.0,36242.0,35639.0,10865.0,10430.0,9876.0,9172.0,8391.0,6760.0,6314.0,5831.0,5183.0,4582.0,43894.0,43660.0,42936.0,42136.0,41897.0,51937.0,50972.0,50474.0,50295.0,49572.0,32638.0,32165.0,31766.0,31901.0,31505.0,7131.0,6922.0,6643.0,6069.0,5382.0,50110.0,49787.0,49518.0,48976.0,48343.0,-29.9,2023-01-01 11:30:00,2023-01-01 09:00:00,
-1.15,-1.17,-2.13,-2.49,-4.06,-5.34,-1.51,-11.77,-8.98,-18.53,,,,,,-5.26,-5.87,-9.88,-14.21,-4.23,-5.87,-5.0,-13.59,-13.59,-13.59,-13.59,-13.59,-0.2,-1.59,-4.5,-3.77,-1.77,-7.28,-1.7,-4.41,-10.0,-10.0,-10.0,-10.0,-1.99,0.0,1.95,-0.49,,-4.79,-2.55,-6.07,-9.31,-10.0,-10.0,-10.0,29246.0,29741.0,30236.0,30724.0,31127.0,37879.0,37528.0,37161.0,36692.0,36242.0,11146.0,10865.0,10430.0,9876.0,9172.0,7118.0,6760.0,6314.0,5831.0,5183.0,43851.0,43894.0,43660.0,42936.0,42136.0,51673.0,51937.0,50972.0,50474.0,50295.0,33050.0,32638.0,32165.0,31766.0,31901.0,7332.0,7131.0,6922.0,6643.0,6069.0,50224.0,50110.0,49787.0,49518.0,48976.0,91.57,2023-01-01 11:45:00,2023-01-01 11:00:00,
-0.84,-0.84,-0.84,-0.84,-3.29,-5.0,,,1.19,-3.49,-0.88,1.95,,,,-3.47,-3.47,-3.47,-3.47,-1.8,-5.0,-3.6,-3.6,-0.3,,0.44,-1.3,-0.28,-2.02,-2.02,-2.02,-2.0,-2.02,-0.5,-2.02,,0.0,0.0,-2.5,4.74,4.74,4.74,4.74,4.74,0.83,2.93,4.95,4.74,3.17,0.09,-0.2,28704.0,29246.0,29741.0,30236.0,30724.0,38186.0,37879.0,37528.0,37161.0,36692.0,11281.0,11146.0,10865.0,10430.0,9876.0,7381.0,7118.0,6760.0,6314.0,5831.0,43910.0,43851.0,43894.0,43660.0,42936.0,51152.0,51673.0,51937.0,50972.0,50474.0,32949.0,33050.0,32638.0,32165.0,31766.0,7483.0,7332.0,7131.0,6922.0,6643.0,50280.0,50224.0,50110.0,49787.0,49518.0,-29.9,2023-01-01 12:00:00,2023-01-01 08:00:00,
-3.29,-5.0,,,1.19,-3.49,-0.88,1.95,,-2.0,-6.2,-6.66,,,,-1.8,-5.0,-3.6,-3.6,-0.3,,0.44,-1.3,-0.2,0.0,,,-2.0,-2.02,-0.5,-2.02,,0.0,0.0,-2.5,-5.24,-2.17,-2.1,,4.74,0.83,2.93,4.95,4.74,3.17,0.09,-0.2,,1.19,,0.59,28704.0,29246.0,29741.0,30236.0,30724.0,38186.0,37879.0,37528.0,37161.0,36692.0,11281.0,11146.0,10865.0,10430.0,9876.0,7381.0,7118.0,6760.0,6314.0,5831.0,43910.0,43851.0,43894.0,43660.0,42936.0,51152.0,51673.0,51937.0,50972.0,50474.0,32949.0,33050.0,32638.0,32165.0,31766.0,7483.0,7332.0,7131.0,6922.0,6643.0,50280.0,50224.0,50110.0,49787.0,49518.0,-29.9,2023-01-01 12:00:00,2023-01-01 09:00:00,
-1.07,-1.07,,-0.28,-0.28,-2.02,-2.02,-2.02,-2.0,-2.02,-0.5,-2.02,,,,-5.87,-5.91,-5.86,-0.84,-0.84,-0.84,-0.84,-0.84,-3.29,-5.0,,,-4.88,-4.88,,-3.47,-3.47,-3.47,-3.47,-3.47,-1.8,-5.0,-3.6,-3.6,2.39,2.39,3.18,4.74,4.74,4.74,4.74,4.74,4.74,0.83,2.93,4.95,27541.0,28110.0,28704.0,29246.0,29741.0,38404.0,38315.0,38186.0,37879.0,37528.0,11097.0,11245.0,11281.0,11146.0,10865.0,7576.0,7538.0,7381.0,7118.0,6760.0,43757.0,43907.0,43910.0,43851.0,43894.0,51556.0,51734.0,51152.0,51673.0,51937.0,33820.0,33159.0,32949.0,33050.0,32638.0,7838.0,7629.0,7483.0,7332.0,7131.0,50238.0,50286.0,50280.0,50224.0,50110.0,-29.91,2023-01-01 12:30:00,2023-01-01 07:00:00,
4.74,4.74,4.74,4.74,4.74,0.83,2.93,4.95,4.74,3.17,0.09,-0.2,,,,-0.84,-0.84,-0.84,-0.84,-3.29,-5.0,,,1.19,-3.49,-0.88,1.95,-3.47,-3.47,-3.47,-3.47,-1.8,-5.0,-3.6,-3.6,-0.3,,0.44,-1.3,-0.28,-2.02,-2.02,-2.02,-2.0,-2.02,-0.5,-2.02,,0.0,0.0,-2.5,27032.0,27541.0,28110.0,28704.0,29246.0,38581.0,38404.0,38315.0,38186.0,37879.0,10802.0,11097.0,11245.0,11281.0,11146.0,7497.0,7576.0,7538.0,7381.0,7118.0,43390.0,43757.0,43907.0,43910.0,43851.0,50918.0,51556.0,51734.0,51152.0,51673.0,34152.0,33820.0,33159.0,32949.0,33050.0,7782.0,7838.0,7629.0,7483.0,7332.0,50498.0,50238.0,50286.0,50280.0,50224.0,-29.92,2023-01-01 12:45:00,2023-01-01 08:00:00,
-1.03,,0.0,0.75,-1.28,-2.46,-8.53,-14.0,-5.02,-0.9,,,,,,,-8.47,-4.79,-5.79,-11.03,-13.8,-22.12,-27.5,-27.5,-27.5,-27.5,-27.5,-1.65,-4.01,-3.97,-5.19,-9.66,-11.0,-13.27,-21.98,-7.05,-7.05,-7.05,-7.05,-2.75,-3.54,-4.01,-0.26,-1.82,-6.21,-6.08,-13.86,-6.6,-2.52,-2.52,-2.52,27032.0,27541.0,28110.0,28704.0,29246.0,38581.0,38404.0,38315.0,38186.0,37879.0,10802.0,11097.0,11245.0,11281.0,11146.0,7497.0,7576.0,7538.0,7381.0,7118.0,43390.0,43757.0,43907.0,43910.0,43851.0,50918.0,51556.0,51734.0,51152.0,51673.0,34152.0,33820.0,33159.0,32949.0,33050.0,7782.0,7838.0,7629.0,7483.0,7332.0,50498.0,50238.0,50286.0,50280.0,50224.0,-29.92,2023-01-01 12:45:00,2023-01-01 12:00:00,
-8.8,-2.92,-4.09,-15.03,-26.53,-22.82,-23.84,-26.59,-29.21,-6.06,-7.4,,,,,-0.35,-0.1,-0.53,-3.05,-2.06,6.19,9.68,16.72,23.1,37.81,34.7,27.2,16.72,20.41,19.19,10.3,24.38,30.21,22.27,23.99,37.88,55.72,49.06,48.1,51.18,53.59,48.33,43.28,48.64,52.5,56.48,51.4,54.28,65.58,56.46,54.6,24284.0,24766.0,25249.0,25672.0,26048.0,38194.0,38288.0,38382.0,38474.0,38550.0,3548.0,4494.0,5508.0,6512.0,7466.0,2841.0,3546.0,4295.0,4977.0,5606.0,43419.0,42900.0,42757.0,42682.0,42781.0,48538.0,48283.0,48478.0,49198.0,49638.0,35548.0,36026.0,35714.0,35628.0,35987.0,2079.0,2791.0,3567.0,4368.0,5165.0,48977.0,49060.0,49315.0,49195.0,49562.0,271.2,2023-01-01 15:00:00,2023-01-01 14:00:00,
-1.91,2.38,2.38,2.38,2.38,2.38,,,,,,,,,,-25.0,-5.0,-5.0,-5.0,-6.5,-6.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,44.95,44.95,44.95,44.95,44.95,44.95,35.18,35.18,35.18,35.18,35.18,35.18,87.81,87.81,87.81,87.81,87.81,87.81,71.23,71.23,71.23,71.23,71.23,71.23,24274.0,24284.0,24766.0,25249.0,25672.0,38123.0,38194.0,38288.0,38382.0,38474.0,2705.0,3548.0,4494.0,5508.0,6512.0,2217.0,2841.0,3546.0,4295.0,4977.0,43324.0,43419.0,42900.0,42757.0,42682.0,48741.0,48538.0,48283.0,48478.0,49198.0,35763.0,35548.0,36026.0,35714.0,35628.0,1443.0,2079.0,2791.0,3567.0,4368.0,49136.0,48977.0,49060.0,49315.0,49195.0,-29.9,2023-01-01 15:15:00,2023-01-01 03:00:00,
2.38,2.38,,,,,,,,,,-0.65,,,,-6.5,-6.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-24.5,44.95,44.95,35.18,35.18,35.18,35.18,35.18,35.18,35.18,35.18,31.24,32.82,87.81,87.81,71.23,71.23,71.23,71.23,71.23,71.23,71.23,69.29,62.5,65.81,24274.0,24284.0,24766.0,25249.0,25672.0,38123.0,38194.0,38288.0,38382.0,38474.0,2705.0,3548.0,4494.0,5508.0,6512.0,2217.0,2841.0,3546.0,4295.0,4977.0,43324.0,43419.0,42900.0,42757.0,42682.0,48741.0,48538.0,48283.0,48478.0,49198.0,35763.0,35548.0,36026.0,35714.0,35628.0,1443.0,2079.0,2791.0,3567.0,4368.0,49136.0,48977.0,49060.0,49315.0,49195.0,-29.9,2023-01-01 15:15:00,2023-01-01 04:00:00,
