target_hour_price,target_hour_+1h,target_hour_+2h,target_hour_+3h,mean_abs_importance
0.9562658742458453,0.930227565379503,0.9105055928998735,0.8917788766412994,0.9221944772916304
0.012866217191680898,0.020610108284242614,0.02479343501685976,0.02840766246421881,0.02166935573925052
0.009925051501989272,0.017412102612824117,0.023033361191680653,0.026721470610668634,0.01927299647929067
0.0,0.0008596023640413985,0.004752324026667305,0.007976844174964835,0.003397192641418385
0.0,0.0008495577968732789,0.004084278639865186,0.0077214065579897274,0.003163810748682048
0.002170803965417713,0.004558476814375547,0.0032958259456912775,0.0011823479806778911,0.0028018636765406073
0.0,-0.0013550779559562038,-0.003734292036202197,-0.005641760830224913,0.002682782705595828
0.0,0.0006747376330732198,0.0030106154751155206,0.005729213678815929,0.0023536416967511672
0.0,0.0,0.002851403827164136,0.005798221392913706,0.0021624063050194606
-0.0,-0.00037973258101661717,-0.0022366054894527917,-0.0038766119270127156,0.001623237499370531
0.0,0.0,0.0016632846152340429,0.00450114445098692,0.0015411072665552407
-0.0,-0.0,-0.0011435835488523038,-0.003772075314126674,0.0012289147157447445
0.0005192264017139011,0.002211203920114611,0.0014571276703019592,0.000156696383788485,0.001086063593979739
0.0,0.0006762741328518935,0.00171919142725684,0.001937348933745237,0.0010832036234634927
-6.792480580282945e-05,-0.0006034231061923935,-0.0012584049956182953,-0.0018983756676631183,0.0009570321438191591
0.0001820795127230482,0.00037710839649786944,0.0007033893951463643,0.0010729662110294704,0.0005838858788491881
-0.0,0.0,6.2131019416159e-05,0.0012933937015420522,0.0003388811802395528
-0.0,-0.0,-0.0,-0.0009477264777812642,0.00023693161944531604
-0.0,-0.0,-0.0,-0.0006005978852490588,0.0001501494713122647
5.6583828418610074e-05,0.0,-0.00016703589502111278,-0.00035278619560136476,0.0001441014797602719
-0.0,-0.0,-0.0,-0.00029083228352925377,7.270807088231344e-05
-1.2014068643454363e-06,-1.641586442184751e-06,-2.424498521618887e-06,-3.3541367579681278e-06,2.1554071465293007e-06
1.164824652811896e-06,1.6434193816410224e-06,2.330065437117791e-06,3.2813752824010057e-06,2.104921188492929e-06
-9.677508270744604e-07,-1.1863110754293545e-06,-1.6715402486744177e-06,-2.3155223993782046e-06,1.5352811376391092e-06
0.0,-0.0,0.0,0.0,0.0
-0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,0.0,0.0,0.0
-0.0,-0.0,-0.0,-0.0,0.0
0.0,-0.0,-0.0,-0.0,0.0
0.0,0.0,-0.0,-0.0,0.0
0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,0.0
0.0,-0.0,-0.0,-0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
-0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,0.0,0.0,0.0
0.0,-0.0,0.0,0.0,0.0
-0.0,-0.0,-0.0,-0.0,0.0
0.0,0.0,0.0,0.0,0.0
-0.0,-0.0,-0.0,-0.0,0.0
-0.0,0.0,0.0,0.0,0.0
-0.0,-0.0,-0.0,-0.0,0.0
-0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
